     ,image                       ,char,b'Raleway,b'Open Sans,b'Roboto,b'Ubuntu Mono,b'Michroma,b'Alex Brush,b'Russo One
0    ,ant+hill_102.jpg_0          ,o   ,0        ,1          ,0       ,0            ,0         ,0           ,0
1    ,ant+hill_102.jpg_0          ,n   ,0        ,1          ,0       ,0            ,0         ,0           ,0
2    ,ant+hill_102.jpg_0          ,"," ,0        ,1          ,0       ,0            ,0         ,0           ,0
3    ,ant+hill_102.jpg_0          ,l   ,0        ,1          ,0       ,0            ,0         ,0           ,0
4    ,ant+hill_102.jpg_0          ,o   ,0        ,1          ,0       ,0            ,0         ,0           ,0
5    ,ant+hill_102.jpg_0          ,a   ,0        ,1          ,0       ,0            ,0         ,0           ,0
6    ,ant+hill_102.jpg_0          ,d   ,0        ,1          ,0       ,0            ,0         ,0           ,0
7    ,ant+hill_102.jpg_0          ,a   ,0        ,1          ,0       ,0            ,0         ,0           ,0
8    ,ant+hill_102.jpg_0          ,n   ,0        ,1          ,0       ,0            ,0         ,0           ,0
9    ,ant+hill_102.jpg_0          ,d   ,0        ,1          ,0       ,0            ,0         ,0           ,0
10   ,ant+hill_102.jpg_0          ,t   ,1        ,0          ,0       ,0            ,0         ,0           ,0
11   ,ant+hill_102.jpg_0          ,h   ,1        ,0          ,0       ,0            ,0         ,0           ,0
12   ,ant+hill_102.jpg_0          ,a   ,1        ,0          ,0       ,0            ,0         ,0           ,0
13   ,ant+hill_102.jpg_0          ,t   ,1        ,0          ,0       ,0            ,0         ,0           ,0
14   ,ant+hill_102.jpg_0          ,h   ,1        ,0          ,0       ,0            ,0         ,0           ,0
15   ,ant+hill_102.jpg_0          ,e   ,1        ,0          ,0       ,0            ,0         ,0           ,0
16   ,ant+hill_102.jpg_0          ,r   ,1        ,0          ,0       ,0            ,0         ,0           ,0
17   ,ant+hill_102.jpg_0          ,e   ,1        ,0          ,0       ,0            ,0         ,0           ,0
18   ,ant+hill_102.jpg_0          ,c   ,1        ,0          ,0       ,0            ,0         ,0           ,0
19   ,ant+hill_102.jpg_0          ,a   ,1        ,0          ,0       ,0            ,0         ,0           ,0
20   ,ant+hill_102.jpg_0          ,n   ,1        ,0          ,0       ,0            ,0         ,0           ,0
21   ,ant+hill_102.jpg_0          ,a   ,1        ,0          ,0       ,0            ,0         ,0           ,0
22   ,ant+hill_102.jpg_0          ,b   ,1        ,0          ,0       ,0            ,0         ,0           ,0
23   ,ant+hill_102.jpg_0          ,l   ,1        ,0          ,0       ,0            ,0         ,0           ,0
24   ,ant+hill_102.jpg_0          ,e   ,1        ,0          ,0       ,0            ,0         ,0           ,0
25   ,ant+hill_102.jpg_0          ,k   ,1        ,0          ,0       ,0            ,0         ,0           ,0
26   ,ant+hill_102.jpg_0          ,n   ,1        ,0          ,0       ,0            ,0         ,0           ,0
27   ,ant+hill_102.jpg_0          ,o   ,1        ,0          ,0       ,0            ,0         ,0           ,0
28   ,ant+hill_102.jpg_0          ,w   ,1        ,0          ,0       ,0            ,0         ,0           ,0
29   ,ant+hill_102.jpg_0          ,t   ,1        ,0          ,0       ,0            ,0         ,0           ,0
30   ,ant+hill_102.jpg_0          ,h   ,1        ,0          ,0       ,0            ,0         ,0           ,0
31   ,ant+hill_102.jpg_0          ,e   ,1        ,0          ,0       ,0            ,0         ,0           ,0
32   ,ant+hill_102.jpg_0          ,i   ,1        ,0          ,0       ,0            ,0         ,0           ,0
33   ,ant+hill_102.jpg_0          ,t   ,1        ,0          ,0       ,0            ,0         ,0           ,0
34   ,ant+hill_102.jpg_0          ,s   ,1        ,0          ,0       ,0            ,0         ,0           ,0
35   ,ant+hill_102.jpg_0          ,T   ,0        ,0          ,0       ,0            ,0         ,1           ,0
36   ,ant+hill_102.jpg_0          ,h   ,0        ,0          ,0       ,0            ,0         ,1           ,0
37   ,ant+hill_102.jpg_0          ,e   ,0        ,0          ,0       ,0            ,0         ,1           ,0
38   ,ant+hill_111.jpg_0          ,A   ,1        ,0          ,0       ,0            ,0         ,0           ,0
39   ,ant+hill_111.jpg_0          ,p   ,1        ,0          ,0       ,0            ,0         ,0           ,0
40   ,ant+hill_111.jpg_0          ,r   ,1        ,0          ,0       ,0            ,0         ,0           ,0
41   ,ant+hill_111.jpg_0          ,f   ,1        ,0          ,0       ,0            ,0         ,0           ,0
42   ,ant+hill_111.jpg_0          ,o   ,1        ,0          ,0       ,0            ,0         ,0           ,0
43   ,ant+hill_111.jpg_0          ,r   ,1        ,0          ,0       ,0            ,0         ,0           ,0
44   ,ant+hill_111.jpg_0          ,o   ,1        ,0          ,0       ,0            ,0         ,0           ,0
45   ,ant+hill_111.jpg_0          ,f   ,1        ,0          ,0       ,0            ,0         ,0           ,0
46   ,ant+hill_111.jpg_0          ,f   ,1        ,0          ,0       ,0            ,0         ,0           ,0
47   ,ant+hill_111.jpg_0          ,"," ,1        ,0          ,0       ,0            ,0         ,0           ,0
48   ,ant+hill_111.jpg_0          ,o   ,0        ,0          ,0       ,1            ,0         ,0           ,0
49   ,ant+hill_111.jpg_0          ,t   ,0        ,0          ,0       ,1            ,0         ,0           ,0
50   ,ant+hill_111.jpg_0          ,h   ,0        ,0          ,0       ,1            ,0         ,0           ,0
51   ,ant+hill_111.jpg_0          ,e   ,0        ,0          ,0       ,1            ,0         ,0           ,0
52   ,ant+hill_111.jpg_0          ,r   ,0        ,0          ,0       ,1            ,0         ,0           ,0
53   ,ant+hill_111.jpg_0          ,H   ,0        ,0          ,0       ,1            ,0         ,0           ,0
54   ,ant+hill_111.jpg_0          ,e   ,0        ,0          ,0       ,1            ,0         ,0           ,0
55   ,ant+hill_111.jpg_0          ,l   ,0        ,0          ,0       ,1            ,0         ,0           ,0
56   ,ant+hill_111.jpg_0          ,l   ,0        ,0          ,0       ,1            ,0         ,0           ,0
57   ,ant+hill_111.jpg_0          ,o   ,0        ,0          ,0       ,1            ,0         ,0           ,0
58   ,ant+hill_111.jpg_0          ,t   ,0        ,0          ,0       ,1            ,0         ,0           ,0
59   ,ant+hill_111.jpg_0          ,h   ,0        ,0          ,0       ,1            ,0         ,0           ,0
60   ,ant+hill_111.jpg_0          ,e   ,0        ,0          ,0       ,1            ,0         ,0           ,0
61   ,ant+hill_111.jpg_0          ,S   ,0        ,0          ,1       ,0            ,0         ,0           ,0
62   ,ant+hill_111.jpg_0          ,o   ,0        ,0          ,1       ,0            ,0         ,0           ,0
63   ,ant+hill_111.jpg_0          ,b   ,0        ,0          ,1       ,0            ,0         ,0           ,0
64   ,ant+hill_111.jpg_0          ,"," ,0        ,0          ,1       ,0            ,0         ,0           ,0
65   ,ant+hill_111.jpg_0          ,d   ,0        ,0          ,1       ,0            ,0         ,0           ,0
66   ,ant+hill_111.jpg_0          ,o   ,0        ,0          ,1       ,0            ,0         ,0           ,0
67   ,ant+hill_111.jpg_0          ,n   ,0        ,0          ,1       ,0            ,0         ,0           ,0
68   ,ant+hill_111.jpg_0          ,'   ,0        ,0          ,1       ,0            ,0         ,0           ,0
69   ,ant+hill_111.jpg_0          ,t   ,0        ,0          ,1       ,0            ,0         ,0           ,0
70   ,ant+hill_111.jpg_0          ,s   ,0        ,0          ,1       ,0            ,0         ,0           ,0
71   ,ant+hill_111.jpg_0          ,u   ,0        ,0          ,1       ,0            ,0         ,0           ,0
72   ,ant+hill_111.jpg_0          ,c   ,0        ,0          ,1       ,0            ,0         ,0           ,0
73   ,ant+hill_111.jpg_0          ,h   ,0        ,0          ,1       ,0            ,0         ,0           ,0
74   ,ant+hill_111.jpg_0          ,o   ,0        ,0          ,1       ,0            ,0         ,0           ,0
75   ,ant+hill_111.jpg_0          ,n   ,0        ,0          ,1       ,0            ,0         ,0           ,0
76   ,ant+hill_111.jpg_0          ,e   ,0        ,0          ,1       ,0            ,0         ,0           ,0
77   ,ant+hill_111.jpg_0          ,u   ,1        ,0          ,0       ,0            ,0         ,0           ,0
78   ,ant+hill_111.jpg_0          ,s   ,1        ,0          ,0       ,0            ,0         ,0           ,0
79   ,ant+hill_111.jpg_0          ,a   ,1        ,0          ,0       ,0            ,0         ,0           ,0
80   ,ant+hill_111.jpg_0          ,w   ,1        ,0          ,0       ,0            ,0         ,0           ,0
81   ,ant+hill_111.jpg_0          ,o   ,1        ,0          ,0       ,0            ,0         ,0           ,0
82   ,ant+hill_111.jpg_0          ,u   ,1        ,0          ,0       ,0            ,0         ,0           ,0
83   ,ant+hill_111.jpg_0          ,l   ,1        ,0          ,0       ,0            ,0         ,0           ,0
84   ,ant+hill_111.jpg_0          ,d   ,1        ,0          ,0       ,0            ,0         ,0           ,0
85   ,ant+hill_111.jpg_0          ,A   ,1        ,0          ,0       ,0            ,0         ,0           ,0
86   ,ant+hill_111.jpg_0          ,r   ,1        ,0          ,0       ,0            ,0         ,0           ,0
87   ,ant+hill_111.jpg_0          ,e   ,1        ,0          ,0       ,0            ,0         ,0           ,0
88   ,ant+hill_111.jpg_0          ,n   ,1        ,0          ,0       ,0            ,0         ,0           ,0
89   ,ant+hill_111.jpg_0          ,o   ,1        ,0          ,0       ,0            ,0         ,0           ,0
90   ,ant+hill_111.jpg_0          ,t   ,1        ,0          ,0       ,0            ,0         ,0           ,0
91   ,ant+hill_111.jpg_0          ,a   ,1        ,0          ,0       ,0            ,0         ,0           ,0
92   ,ant+hill_111.jpg_0          ,n   ,1        ,0          ,0       ,0            ,0         ,0           ,0
93   ,ant+hill_111.jpg_0          ,d   ,1        ,0          ,0       ,0            ,0         ,0           ,0
94   ,ant+hill_111.jpg_0          ,n   ,0        ,0          ,0       ,0            ,0         ,0           ,1
95   ,ant+hill_111.jpg_0          ,o   ,0        ,0          ,0       ,0            ,0         ,0           ,1
96   ,ant+hill_111.jpg_0          ,t   ,0        ,0          ,0       ,0            ,0         ,0           ,1
